country,city,iso3,iso3_cit,eiu_region,year,value,rank
New Zealand,Auckland,NZL,NZL_AUC,Asia & Australasia,2021,96,1
Japan,Osaka,JPN,JPN_OSA,Asia & Australasia,2021,94.2,2
Australia,Adelaide,AUS,AUS_ADE,Asia & Australasia,2021,94,3
New Zealand,Wellington,NZL,NZL_WEL,Asia & Australasia,2021,93.7,4
Japan,Tokyo,JPN,JPN_TOK,Asia & Australasia,2021,93.7,4
Australia,Perth,AUS,AUS_PER,Asia & Australasia,2021,93.3,6
Switzerland,Zurich,CHE,CHE_ZUR,Western Europe,2021,92.8,7
Switzerland,Geneva,CHE,CHE_GEN,Western Europe,2021,92.5,8
Australia,Melbourne,AUS,AUS_MEL,Asia & Australasia,2021,92.5,8
Australia,Brisbane,AUS,AUS_BRI,Asia & Australasia,2021,92.4,10
Australia,Sydney,AUS,AUS_SYD,Asia & Australasia,2021,92.1,11
Austria,Vienna,AUT,AUT_VIE,Western Europe,2021,92,12
Finland,Helsinki,FIN,FIN_HEL,Western Europe,2021,91.7,13
United States,Honolulu,USA,USA_HON,North America,2021,90.6,14
Denmark,Copenhagen,DNK,DNK_COP,Western Europe,2021,90,15
Spain,Barcelona,ESP,ESP_BAR,Western Europe,2021,88.3,16
Canada,Vancouver,CAN,CAN_VAN,North America,2021,88.3,16
Canada,Calgary,CAN,CAN_CAL,North America,2021,87.5,18
Spain,Madrid,ESP,ESP_MAD,Western Europe,2021,86.8,19
Canada,Toronto,CAN,CAN_TOR,North America,2021,86.7,20
Sweden,Stockholm,SWE,SWE_STO,Western Europe,2021,86.6,21
Norway,Oslo,NOR,NOR_OSL,Western Europe,2021,86.2,22
Iceland,Reykjavik,ISL,ISL_REY,Western Europe,2021,86,23
United States,Atlanta,USA,USA_ATL,North America,2021,85.6,24
United States,Pittsburgh,USA,USA_PIT,North America,2021,85.3,25
Luxembourg,Luxembourg,LUX,LUX_LUX,Western Europe,2021,85.1,26
Germany,Berlin,DEU,DEU_BER,Western Europe,2021,84.9,27
United States,Chicago,USA,USA_CHI,North America,2021,84.3,28
United States,Miami,USA,USA_MIA,North America,2021,84.3,28
Netherlands,Amsterdam,NLD,NLD_AMS,Western Europe,2021,84.1,30
United States,Houston,USA,USA_HOU,North America,2021,84,31
Germany,Munich,DEU,DEU_MUN,Western Europe,2021,84,31
Taiwan,Taipei,TWN,TWN_TAI,Asia & Australasia,2021,83.9,33
